n,checks,scaled,exact_risk,asymptotic_risk
1024,581,0.2485447860664749,0.4327959469969773,0.4348759028368565
1024,582,0.2797947860664749,0.42477221268282206,0.42677512680143326
1024,583,0.3110447860664749,0.4167886414135019,0.4187051198203508
1024,584,0.3422947860664749,0.40884829720109445,0.4106691812997989
1024,585,0.3735447860664749,0.4009541808649475,0.40267056782388483
1024,586,0.4047947860664749,0.3931092269415267,0.3947124892022097
1024,587,0.4360447860664749,0.3853163007441277,0.3867981046151132
1024,588,0.4672947860664749,0.37757819557643013,0.37893051886428186
1024,589,0.4985447860664749,0.3698976301034229,0.3711127787361076
1024,590,0.5297947860664749,0.36227724588277604,0.36334786948485887
1024,591,0.5610447860664749,0.35471960505927747,0.35563871144237724
1024,592,0.5922947860664749,0.3472271882245058,0.34798815676065076
1024,593,0.6235447860664749,0.3398023924434553,0.3403989862932337
1024,594,0.6547947860664749,0.3324475294493836,0.3328739066210868
1024,595,0.6860447860664749,0.3251648240077143,0.32541554722800425
1024,596,0.7172947860664749,0.31795641244938894,0.31802645783037053
1024,597,0.7485447860664749,0.3108243413736368,0.3107091058655599
1024,598,0.7797947860664749,0.30377056651971646,0.30346587414284965
1024,599,0.8110447860664749,0.29679695180677146,0.2962990586602716
1024,600,0.8422947860664749,0.2899052685405511,0.2892108665903691
1024,601,0.8735447860664749,0.2830971947853619,0.28220341443737124
1024,602,0.9047947860664749,0.2763743148992457,0.2752787263678343
1024,603,0.9360447860664749,0.26973811923002544,0.2684387327163361
1024,604,0.9672947860664749,0.2631900039695205,0.26168526866735076
1024,605,0.9985447860664749,0.2567312711629054,0.255020073113968
1024,606,1.029794786066475,0.2503631288698819,0.24844478769366812
1024,607,1.061044786066475,0.24408669147404052,0.2419609560009094
1024,608,1.092294786066475,0.2379029801365155,0.23557002297584462
1024,609,1.123544786066475,0.23181292338978077,0.2292733344680407
1024,610,1.154794786066475,0.22581735786719792,0.22307213697365424
1024,611,1.186044786066475,0.21991702916370803,0.2169675775440943
1024,612,1.217294786066475,0.2141125928228598,0.2109607038638016
1024,613,1.248544786066475,0.20840461544518385,0.20505246449438008
1024,614,1.279794786066475,0.20279357591276295,0.19924370928194024
1024,615,1.311044786066475,0.19727986672470235,0.19353518992414892
1024,616,1.342294786066475,0.1918637954380813,0.1879275606931387
1024,617,1.373544786066475,0.18654558620885967,0.18242137931009378
1024,618,1.404794786066475,0.1813253814271269,0.17701710796702608
1024,619,1.436044786066475,0.1762032434410098,0.17171511449095583
1024,620,1.467294786066475,0.17117915636350506,0.16651567364544245
1024,621,1.498544786066475,0.16625302795646713,0.16141896856415588
1024,622,1.529794786066475,0.16142469158596434,0.1564250923109458
1024,623,1.561044786066475,0.15669390824321625,0.15153404956065564
1024,624,1.592294786066475,0.15206036862533906,0.14674575839473397
1024,625,1.623544786066475,0.1475236952701562,0.1420600522055308
1024,626,1.654794786066475,0.14308344473937717,0.13747668170301275
1024,627,1.686044786066475,0.13873910984450533,0.13299531701750905
1024,628,1.717294786066475,0.13449012190990992,0.12861554989199114
1024,629,1.748544786066475,0.13033585306758078,0.12433689595730901
1024,630,1.779794786066475,0.1262756185781842,0.12015879708373844
1024,631,1.811044786066475,0.12230867917314503,0.11608062380215994
1024,632,1.842294786066475,0.11843424341260143,0.11210167778815988
1024,633,1.873544786066475,0.11465147005420695,0.10822119440235256
1024,634,1.904794786066475,0.11095947042789425,0.1044383452802311
1024,635,1.936044786066475,0.107357310811861,0.10075224096490237
1024,636,1.967294786066475,0.10384401480519356,0.09716193357611064
1024,637,1.998544786066475,0.10041856569270552,0.0936664195090331
1024,638,2.029794786066475,0.097079908797736,0.09026464215641966
1024,639,2.061044786066475,0.09382695381882543,0.08695549464776026
1024,640,2.092294786066475,0.09065857714636481,0.0837378225992853
1024,641,2.123544786066475,0.08757362415549541,0.08061042686874231
1024,642,2.154794786066475,0.08457091147172169,0.07757206630904842
1024,643,2.186044786066475,0.08164922920588724,0.0746214605150809
1024,644,2.217294786066475,0.07880734315535307,0.07175729255804751
1024,645,2.248544786066475,0.07604399696840819,0.06897821170206789
1024,646,2.279794786066475,0.07335791426913424,0.06628283609779681
1024,647,2.311044786066475,0.07074780074013629,0.06366975544812854
1024,648,2.342294786066475,0.06821234616074365,0.06113753364124064
1024,649,2.373544786066475,0.06575022639847367,0.05868471134645754
1024,650,2.404794786066475,0.0633601053517395,0.056309808568649505
1024,651,2.436044786066475,0.061040636841969156,0.0540113271571144
1024,652,2.467294786066475,0.05879046645348583,0.05178775326513541
1024,653,2.498544786066475,0.05660823331968032,0.049637559756649394
1024,654,2.529794786066475,0.05449257185418282,0.04755920855670948
1024,655,2.561044786066475,0.05244211342591447,0.045551152942673714
1024,656,2.592294786066475,0.05045548797706791,0.04361183977330178
1024,657,2.623544786066475,0.04853132558323028,0.04173971165319177
1024,658,2.654794786066475,0.04666825795502161,0.039933209030237005
1024,659,2.686044786066475,0.0448649198807763,0.03819077222403101
1024,660,2.717294786066475,0.04311995060994392,0.036510843383392944
1024,661,2.748544786066475,0.04143199517702999,0.034891868371427576
1024,662,2.779794786066475,0.039799705666034725,0.033332298576771266
1024,663,2.811044786066475,0.03822174241548029,0.03183059264990891
1024,664,2.842294786066475,0.03669677516424308,0.030385218163674486
1024,665,2.873544786066475,0.03522348413852778,0.028994653197270275
1024,666,2.904794786066475,0.033800561080433965,0.027657387843355218
1024,667,2.936044786066475,0.03242671021867362,0.026371925637963724
1024,668,2.967294786066475,0.031100649182099926,0.02513678491321571
1024,669,2.998544786066475,0.029821109856802593,0.023950500072975868
1024,670,3.029794786066475,0.028586839187614493,0.022811622791804383
1024,671,3.061044786066475,0.02739659992495725,0.021718723137721475
1024,672,3.092294786066475,0.026249171318030184,0.020670390619475894
1024,673,3.123544786066475,0.025143349755417925,0.019665235159170662
1024,674,3.154794786066475,0.024077949354256823,0.018701887991248934
1024,675,3.186044786066475,0.023051802499159148,0.017779002488988217
1024,676,3.217294786066475,0.022063760332147325,0.01689525491978294
1024,677,3.248544786066475,0.021112693194897957,0.016049345130620795
1024,678,3.279794786066475,0.020197491024637505,0.015239997165273361
1024,679,3.311044786066475,0.01931706370506815,0.0144659598148273
1024,680,3.342294786066475,0.018470341373733837,0.013726007103278762
1024,681,3.373544786066475,0.01765627468726323,0.013018938710001779
1024,682,3.404794786066475,0.01687383504594759,0.012343580330979069
1024,683,3.436044786066475,0.01612201477912903,0.011698783980753838
1024,684,3.467294786066475,0.01539982729288666,0.011083428237121365
1024,685,3.498544786066475,0.014706307181516842,0.010496418430631498
1024,686,3.529794786066475,0.014040510304307462,0.009936686781017105
1024,687,3.561044786066475,0.013401513829106785,0.009403192482698827
1024,688,3.592294786066475,0.012788416244183707,0.008894921741544437
1024,689,3.623544786066475,0.012200337339869471,0.008410887765081308
1024,690,3.654794786066475,0.01163641816146066,0.007950130708373164
1024,691,3.686044786066475,0.011095820934849877,0.007511717577778003
1024,692,3.717294786066475,0.010577728966334483,0.007094742094803634
1024,693,3.748544786066475,0.010081346518034655,0.006698324522269298
1024,694,3.779794786066475,0.009605898660330868,0.006321611454968981
1024,695,3.811044786066475,0.009150631102707012,0.005963775577012822
1024,696,3.842294786066475,0.008714810004359617,0.005624015387998469
1024,697,3.873544786066475,0.00829772176590594,0.005301554900134825
1024,698,3.904794786066475,0.007898672803494121,0.004995643308406616
1024,699,3.936044786066475,0.007516989306587547,0.004705554635829288
1024,700,3.967294786066475,0.00715201698066315,0.00443058735580183
1024,701,3.998544786066475,0.006803120776029543,0.004170063993518536
